"Region","All_Filings_Total","All_Filings_Chapter_7","All_Filings_Chapter_11","All_Filings_Chapter_12","All_Filings_Chapter_13","Business_Filings_Total","Business_Filings_Chapter_7","Business_Filings_Chapter_11","Business_Filings_Chapter_12","Business_Filings_Chapter_13","Personal_Filings_Total","Personal_Filings_Chapter_7","Personal_Filings_Chapter_11","Personal_Filings_Chapter_13","Year","Percentage_of_Chapter_7_in_Business_Filings","Percentage_of_Chapter_11_in_Business_Filings","Percentage_of_Chapter_12_in_Business_Filings","Percentage_of_Chapter_13_in_Business_Filings","Percentage_of_Chapter_7_in_Personal_Filings","Percentage_of_Chapter_11_in_Personal_Filings","Percentage_of_Chapter_13_in_Personal_Filings"
"United States",1071932,728833,8980,395,333626,33212,22334,7660,395,2727,1038720,706499,1320,330899,"2013",67.2,23.1,1.2,8.2,68,0.1,31.9
"MA",12562,9864,114,25,2559,435,288,78,25,44,12127,9576,36,2515,"2013",66.2,17.9,5.7,10.1,79,0.3,20.7
"Barnstable County",576,407,8,1,160,21,13,5,1,2,555,394,3,158,"2013",61.9,23.8,4.8,9.5,71,0.5,28.5
"Berkshire County",199,174,0,0,25,13,10,0,0,3,186,164,0,22,"2013",76.9,0,0,23.1,88.2,0,11.8
"Bristol County",1519,1170,5,21,323,55,25,5,21,4,1464,1145,0,319,"2013",45.5,9.1,38.2,7.3,78.2,0,21.8
"Dukes County",19,15,0,0,4,1,1,0,0,0,18,14,0,4,"2013",100,0,0,0,77.8,0,22.2
"Essex County",1560,1249,10,0,301,43,32,7,0,4,1517,1217,3,297,"2013",74.4,16.3,0,9.3,80.2,0.2,19.6
"Franklin County",143,134,0,0,9,2,2,0,0,0,141,132,0,9,"2013",100,0,0,0,93.6,0,6.4
"Hampden County",916,795,3,0,118,25,18,3,0,4,891,777,0,114,"2013",72,12,0,16,87.2,0,12.8
"Hampshire County",189,163,1,0,25,7,5,1,0,1,182,158,0,24,"2013",71.4,14.3,0,14.3,86.8,0,13.2
"Middlesex County",2157,1747,23,0,387,84,61,15,0,8,2073,1686,8,379,"2013",72.6,17.9,0,9.5,81.3,0.4,18.3
